User,Tweet Count,Tweet Text,Date,Compound,Positive,Neutral,Negative
@BBC,31,"RT @BBCSportWales: .@Nigelrefowens commands respect on the rugby field.

But does he need an agent? ?

This is ""Nige"" - Chapter 1: The Reun…",2018-02-02 14:03:25+00:00,0.4767,0.129,0.0,0.871
@BBC,32,"??? How to live life like a hedonist. 
? https://t.co/Dg8w8YHztM https://t.co/iUAgQZMLGH",2018-02-02 14:00:09+00:00,0.3612,0.238,0.0,0.762
@BBC,33,"? It’s long been thought that the ability to roll your tongue is a clear-cut case of genetics. 

@BBC_Future finds… https://t.co/Xs37m1gp6A",2018-02-02 13:30:09+00:00,0.3182,0.113,0.0,0.887
@BBC,34,"? Why do we say 'hello'? 
? Dr Laura Wright explains the origins of the word.
? https://t.co/CWWSObbDLz https://t.co/6YaSSOdTxd",2018-02-02 13:04:04+00:00,0.0,0.0,0.0,1.0
@BBC,35,Four things you'll only know if you play netball. ? https://t.co/w2Nd81iWmK,2018-02-02 12:30:02+00:00,0.34,0.211,0.0,0.789
@BBC,36,"??? #AnimalsWithCameras: Capturing the secrets of the wild. 
? https://t.co/0rEkuFUv93 https://t.co/nvV9jgqXHe",2018-02-02 12:00:06+00:00,0.0,0.0,0.0,1.0
@BBC,37,"RT @BBCOne: When penguins... HONK!... interrupt... HONK!... your TV interview... HONK! ? ? 

#AnimalsWithCameras. Thursdays at 8pm on @BBCO…",2018-02-02 11:42:04+00:00,0.0,0.0,0.0,1.0
@BBC,38,? Not everyone is upset that parts of Paris are still under water. https://t.co/5piIQ5YiPn,2018-02-02 09:42:20+00:00,-0.3818,0.0,0.178,0.822
@BBC,39,"RT @bbcweather: It's #GroundhogDay today. If a groundhog emerges from his burrow and sees his shadow, legend has it winter will continue fo…",2018-02-02 09:38:47+00:00,0.0,0.0,0.0,1.0
@BBC,40,"? The accidental ‘insurance policy’ that might just save the endangered Scottish wildcat from extinction. 
?… https://t.co/mJuJ05osWA",2018-02-02 09:01:03+00:00,0.4404,0.173,0.07,0.757
